location,location_grp
"Alexandria, MN",In-laws place
Atlanta,On the job
"Austin, TX",On the job
"Avon, CT",Family home
Baltimore,Traveling
"Barkhamsted, CT",Family home
"Bennington, VT",Alma Mater
Berkeley,Berkeley
Berkeley Studio,Berkeley Studio
Berlin,Traveling
Boston,On The Job
"Bristol, VA",Traveling
Brooklyn,NYC
Brooklyn navy Yard,NYC
Brooklyn Studio,Brooklyn Studio
"Burlington, VT",Traveling
Bushwick,NYC
"Canton, CT",Family home
"Charlottesville, VA",Traveling
"Chester, NJ",Traveling
Chicago,On The Job
"Colorado Springs, CO",In-laws place
Croton On Hudson,NYC
"Cypress Hill, Brooklyn",NYC
Dan Romer's Studio,Friend's Place
Denver,On the job
Dutch Wonderland,Vacation
"Eagan, MN",In-laws place
"East Hanover, NJ",On the job
Flamig Farm,Traveling
Hackensack Children's Hospital,Hospital
"Hanover, Germany",On The Job
"Harrison, NY",Traveling
"Hartford, CT","Hartford, CT"
"Hartford, CT Studio",Hartford Studio
"Hartford, CT Studio 2",Hartford Studio
Hospital,Hospital
"Hot Springs, VA",On The Job
In The Air,Traveling
In The Car,Traveling
Jersey City,Jersey City
Jersey City Studio,Jersey City Studio
Jersey City Studio2,Jersey City Studio
Jersey City Studio3,Jersey City Studio
Jersey City(Oskar's House),Jersey City
Jersey City2,Jersey City
"Jupiter, FL",Family home
"Keene, NH",Traveling
Lake Welch,Traveling
"Lancaster, PA",Traveling
London,On The Job
Los Angeles,In-laws place
"Ludlow, MA",Traveling
"Manitou Springs, CO",In-laws place
"Maui, HI",Family home
"Midland, TX",On The Job
Minneapolis,In-laws place
Minnesota,In-laws place
"Misquomicut, RI",Vacation
Montreal,Traveling
"Morristown, NJ",Traveling
"Nanuet, NY",Vacation
"Nashville, TN",On The Job
New Orleans,On The Job
New Zealand,Traveling
Newark Airport,Traveling
Norman's House,Friend's Place
"Nyack, NY",Vacation
NYC,NYC
Oakland,Berkeley
"Ojai, CA",Traveling
"Olivebridge, NY",Traveling
Orlando,On The Job
"Ozona, TX",On The Job
"Palmer Rapids, Ontario",On The Job
Park Slope,NYC
Pennsylvania,On The Job
"Pensacola,FL",Traveling
Philly,Friend's Place
"Phuket, Thailand",Traveling
"Plano, TX",On The Job
"Portland, OR",Traveling
Prague,Traveling
"Pueblo, CO",In-laws place
Ronen's Brooklyn Studio,Friend's Place
Salt Lake City,On The Job
San Diego,On The Job
San Francisco,Traveling
Santa Cruz,Traveling
"Seattle, WA",Traveling
"Secaucus, NY",Traveling
Severna Park,In-laws place
Severna Park Studio,In-laws place
"Simsbury, CT",Family home
"Southington, CT",Family home
St. Louis,On The Job
Stanclift Cove,Family home
"Stanford, CA",On The Job
Storm King,Vacation
"Teaneck, NJ",Traveling
The Garden Center,Friend's Place
"Tillson, NY","Tillson, NY"
"Tillson, NY Studio","Tillson, NY Studio"
Times Square,On The Job
Toronto,On The Job
"Tuscon, AC",Traveling
Uconn Hostpital,Hospital
Utah,On The Job
Vancouver,On The Job
Vermont,Family home
"Victoria, BC",On The Job
Vienna,Traveling
"Washington, DC",On The Job
"Williams, MA",In-laws place
Williamsburg,NYC
"Wilmington, DE",Friend's Place
Windsor CT,Traveling
Windsor Terrace,Windsor Terrace
Windsor Terrace Studio,Windsor Terrace Studio
Yosemite,On The Job
