number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder,yearmonth,yearweek,datetimemonth,mood_sorted,score,location_grp,mood score
1,01.01.2009,In the Time of the Gods,Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,"Delicate, Narrative, Myth",Delicate,"Narrative, Myth",,,156,C,61,https://youtu.be/v6Lk_OP4ZKc,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-00,01.01.2009,04. Pensive,,In-laws place,
2,02.01.2009,Hands (Oh No!),Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Sad,Clean,Folk,Dark,Dark,,,,189,F,100,https://youtu.be/ojUAssDIqic,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-00,01.01.2009,00. Angry,-1,In-laws place,-1
3,03.01.2009,Who Do You Think You Are,Los Angeles,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Anxious,Clean,Electro,"Dark, Cheesy, Narrative, Funny",Dark,"Cheesy, Narrative, Funny",,,132,Am,110,https://youtu.be/tRrTEB50cCE,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-00,01.01.2009,02. Anxious,-1,In-laws place,-1
4,04.01.2009,Elegy for industry,Los Angeles,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Sad,Clean,Electro,"Dark, Narrative",Dark,Narrative,,,140,Em,130,https://youtu.be/57gN8EZJE2A,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,00. Angry,-1,In-laws place,-1
5,05.01.2009,The Airport Song,Los Angeles,Airport,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,"Wistful, Personal, Travel",Wistful,"Personal, Travel",,,73,D,59,https://www.youtube.com/watch?v=kLzFYvZkX7c,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,09. Chill,,In-laws place,
6,06.01.2009,It Must Be the Weather,NYC,Life,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Blues,"Dark, Personal, Weather",Dark,"Personal, Weather",,,230,Gm,65,https://youtu.be/n3ckq1Pa64g,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,04. Pensive,,NYC,
7,07.01.2009,"EGM, 1up, Goodbye",NYC,Video Games,Baritone Ukulele,Baritone Ukulele,,Sad,Shadow,Folk,"Dark, Personal",Dark,Personal,,,157,Em,96,https://www.youtube.com/watch?v=mzFyM0SCpOs,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,00. Angry,-1,NYC,-1
8,08.01.2009,Boy for Boy's Sake,NYC,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,Light,Light,,,,143,D,50,https://www.youtube.com/watch?v=qLjYVzYGg-M,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,04. Pensive,,NYC,
9,09.01.2009,The Deutsch Positivity Anthem,NYC,Commission,Baritone Ukulele,Baritone Ukulele,,Happy,Clean,Electro,"Cheesy, Motivational",Cheesy,Motivational,,,179,Bb,170,https://youtu.be/pvweusx-cAk,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,12. Happy,1,NYC,1
10,10.01.2009,The Three Rules of the internet,NYC,Internet,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Funny, Nerd",Funny,Nerd,,,187,D,100,https://www.youtube.com/watch?v=GWSP2c9J8CQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,11. Silly,1,NYC,1
